"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713825113' - u.lastaccess > e.customint2                        ",1895,1895,0,247482,282,1895
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713823313' - u.lastaccess > e.customint2                        ",1895,1895,0,247548,283,1895
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713819715' - u.lastaccess > e.customint2                        ",1894,1894,0,247575,280,1894
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713831413' - u.lastaccess > e.customint2                        ",1893,1893,0,247402,273,1893
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713826910' - u.lastaccess > e.customint2                        ",1892,1892,0,247532,277,1892
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713841310' - u.lastaccess > e.customint2                        ",1892,1892,0,247581,284,1892
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713824209' - u.lastaccess > e.customint2                        ",1891,1891,0,247479,276,1891
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713854814' - u.lastaccess > e.customint2                        ",1890,1889,1,247436,275,1890
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713845809' - u.lastaccess > e.customint2                        ",1889,1889,0,247460,271,1889
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713818809' - u.lastaccess > e.customint2                        ",1887,1887,0,247470,272,1887
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713850313' - u.lastaccess > e.customint2                        ",1886,1885,1,247432,271,1886
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713820609' - u.lastaccess > e.customint2                        ",1884,1884,0,247575,283,1884
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user u ON u.id = ue.userid                  WHERE '1713826014' - u.lastaccess > e.customint2                        ",1884,1884,0,247482,275,1884
"             SELECT DISTINCT                 c.id AS course,                 cr.id AS criteriaid,                 ra.userid AS userid,                 mc.timemodified AS timecompleted             FROM                 mdl_course_completion_criteria cr             INNER JOIN                 mdl_course c              ON cr.course = c.id             INNER JOIN                 mdl_context con              ON con.instanceid = c.id             INNER JOIN                 mdl_role_assignments ra               ON ra.contextid = con.id             INNER JOIN                 mdl_course_modules_completion mc              ON mc.coursemoduleid = cr.moduleinstance             AND mc.userid = ra.userid             LEFT JOIN                 mdl_course_completion_crit_compl cc              ON cc.criteriaid = cr.id             AND cc.userid = ra.userid             WHERE                 cr.criteriatype = 4             AND con.contextlevel = 50             AND c.enablecompletion = 1             AND cc.id IS NULL             AND (                 mc.completionstate = 1              OR mc.completionstate = 2              OR mc.completionstate = 3                 )         ",1789,11639,-9850,98076,0,15774500
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user_lastaccess ul ON (ul.userid = ue.userid AND ul.courseid = e.courseid)                  WHERE '1713842213' - ul.timeaccess > e.customint2                        ",1116,1116,0,442582,977,1116
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user_lastaccess ul ON (ul.userid = ue.userid AND ul.courseid = e.courseid)                  WHERE '1713847609' - ul.timeaccess > e.customint2                        ",1090,1090,0,442715,983,1090
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user_lastaccess ul ON (ul.userid = ue.userid AND ul.courseid = e.courseid)                  WHERE '1713846713' - ul.timeaccess > e.customint2                        ",1076,1076,0,442717,984,1076
"SELECT e.*, ue.userid                   FROM mdl_user_enrolments ue                   JOIN mdl_enrol e ON (e.id = ue.enrolid AND e.enrol = 'self' AND e.customint2 > 0)                   JOIN mdl_user_lastaccess ul ON (ul.userid = ue.userid AND ul.courseid = e.courseid)                  WHERE '1713828709' - ul.timeaccess > e.customint2                        ",1074,1074,0,442645,985,1074
