SELECT * FROM EISTHPOST.dbo.Stag_1LatLong;,387269,875394,-488125,19789745,0,387269
SELECT * FROM Stag_1LatLong,248243,346809,-98566,19788397,0,248243
SELECT [รหัสที่ทำการ]as col1, [ทีทำการนำจ่าย (DB)]as col2, โซน as col3, [ด้าน] as col4,
ระวาง as col5, [จุดนำจ่าย] as col6, [เลขที่บ้านเดิม] as col7, 
[เลขที่บ้านใหม่] as col8
FROM EISTHPOST.dbo.Stag_1LatLong;,186011,182980,3031,529075,0,186011
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>35076977 order by Numberno  SET NO_BROWSETABLE OFF;,72231,324932,-252701,520858,4,72231
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>35200324 order by Numberno  SET NO_BROWSETABLE OFF;,72120,327728,-255608,518055,2,72120
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>35324970 order by Numberno  SET NO_BROWSETABLE OFF;,70813,317891,-247078,515274,5,70813
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>35433647 order by Numberno  SET NO_BROWSETABLE OFF;,70606,313940,-243334,511747,1,70606
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>35540315 order by Numberno  SET NO_BROWSETABLE OFF;,68961,312329,-243368,508226,1,68961
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>35646642 order by Numberno  SET NO_BROWSETABLE OFF;,68865,309734,-240869,505230,2,68865
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>35747147 order by Numberno  SET NO_BROWSETABLE OFF;,67885,307641,-239756,502363,0,67885
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>15281156 order by Numberno  SET NO_BROWSETABLE OFF;,67589,429216,-361627,613565,0,67589
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>35906355 order by Numberno  SET NO_BROWSETABLE OFF;,67316,303199,-235883,499453,1,67316
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>38355326 order by Numberno  SET NO_BROWSETABLE OFF;,66782,300487,-233705,495405,1,66782
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>15615632 order by Numberno  SET NO_BROWSETABLE OFF;,66349,422143,-355794,610982,0,66349
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>16273989 order by Numberno  SET NO_BROWSETABLE OFF;,66295,418830,-352535,602691,0,66295
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>38520857 order by Numberno  SET NO_BROWSETABLE OFF;,66233,298436,-232203,492301,5,66233
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>38635631 order by Numberno  SET NO_BROWSETABLE OFF;,65900,294677,-228777,489054,1,65900
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>17048949 order by Numberno  SET NO_BROWSETABLE OFF;,64822,411380,-346558,596303,0,64822
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>16504377 order by Numberno  SET NO_BROWSETABLE OFF;,64754,414803,-350049,599183,0,64754
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>17890560 order by Numberno  SET NO_BROWSETABLE OFF;,64232,407628,-343396,593380,0,64232
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>17994639 order by Numberno  SET NO_BROWSETABLE OFF;,63943,406494,-342551,590404,0,63943
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>38858736 order by Numberno  SET NO_BROWSETABLE OFF;,63664,287496,-223832,561369,0,63664
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>18149209 order by Numberno  SET NO_BROWSETABLE OFF;,63583,402803,-339220,587605,0,63583
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>38736083 order by Numberno  SET NO_BROWSETABLE OFF;,63371,289113,-225742,565958,0,63371
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>18937930 order by Numberno  SET NO_BROWSETABLE OFF;,62947,401862,-338915,584519,0,62947
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>19056087 order by Numberno  SET NO_BROWSETABLE OFF;,62838,399881,-337043,581790,0,62838
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>19850968 order by Numberno  SET NO_BROWSETABLE OFF;,62054,393701,-331647,575784,0,62054
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>19286642 order by Numberno  SET NO_BROWSETABLE OFF;,61961,392582,-330621,578861,0,61961
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>39463520 order by Numberno  SET NO_BROWSETABLE OFF;,61874,278164,-216290,550650,0,61874
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>39319821 order by Numberno  SET NO_BROWSETABLE OFF;,61621,279815,-218194,555857,0,61621
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>20590244 order by Numberno  SET NO_BROWSETABLE OFF;,61392,387852,-326460,570254,0,61392
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>20444026 order by Numberno  SET NO_BROWSETABLE OFF;,60830,387238,-326408,572996,0,60830
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>21748567 order by Numberno  SET NO_BROWSETABLE OFF;,60436,384065,-323629,567072,0,60436
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>39563825 order by Numberno  SET NO_BROWSETABLE OFF;,60306,275875,-215569,543934,0,60306
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>21942218 order by Numberno  SET NO_BROWSETABLE OFF;,59520,377050,-317530,563908,0,59520
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>23799752 order by Numberno  SET NO_BROWSETABLE OFF;,59497,375864,-316367,560962,0,59497
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>39867945 order by Numberno  SET NO_BROWSETABLE OFF;,59338,272400,-213062,538212,0,59338
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>39970007 order by Numberno  SET NO_BROWSETABLE OFF;,59041,269436,-210395,533091,0,59041
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>23904411 order by Numberno  SET NO_BROWSETABLE OFF;,58786,369919,-311133,558123,0,58786
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>24005710 order by Numberno  SET NO_BROWSETABLE OFF;,58765,370772,-312007,555636,0,58765
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>40243034 order by Numberno  SET NO_BROWSETABLE OFF;,58711,267524,-208813,527828,0,58711
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>40795176 order by Numberno  SET NO_BROWSETABLE OFF;,58663,266504,-207841,522962,0,58663
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>24116994 order by Numberno  SET NO_BROWSETABLE OFF;,58233,370179,-311946,552871,0,58233
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>41588188 order by Numberno  SET NO_BROWSETABLE OFF;,58020,263900,-205880,517567,0,58020
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>24218900 order by Numberno  SET NO_BROWSETABLE OFF;,57264,363235,-305971,549617,0,57264
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>24927150 order by Numberno  SET NO_BROWSETABLE OFF;,56641,359526,-302885,543792,0,56641
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>43330428 order by Numberno  SET NO_BROWSETABLE OFF;,56544,257251,-200707,512263,0,56544
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>24336303 order by Numberno  SET NO_BROWSETABLE OFF;,56285,358676,-302391,546627,0,56285
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>25048950 order by Numberno  SET NO_BROWSETABLE OFF;,56279,355749,-299470,541036,0,56279
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>43436786 order by Numberno  SET NO_BROWSETABLE OFF;,56220,253274,-197054,506936,0,56220
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>25594030 order by Numberno  SET NO_BROWSETABLE OFF;,55951,352730,-296779,537998,0,55951
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>25874184 order by Numberno  SET NO_BROWSETABLE OFF;,55664,352848,-297184,534911,0,55664
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>43540008 order by Numberno  SET NO_BROWSETABLE OFF;,55431,252872,-197441,501999,0,55431
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>43648195 order by Numberno  SET NO_BROWSETABLE OFF;,55362,253579,-198217,497259,0,55362
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>26972124 order by Numberno  SET NO_BROWSETABLE OFF;,54639,347510,-292871,531886,0,54639
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>43791289 order by Numberno  SET NO_BROWSETABLE OFF;,54460,247464,-193004,492222,0,54460
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>44017421 order by Numberno  SET NO_BROWSETABLE OFF;,54179,242147,-187968,482318,0,54179
